id,nombre_comercial,tipo,grado_N,grado_P2O5,grado_K2O,grado_S,clase,formulacion,estado_colombia,fuente
307,Organomineral NPK 4-4-4,Compuesto,4,4,4,0,NPK organomineral,4-4-4,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
308,Organomineral NPK 6-2-4,Compuesto,6,2,4,0,NPK organomineral,6-2-4,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
309,Organomineral NPK 3-6-6,Compuesto,3,6,6,0,NPK organomineral,3-6-6,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
310,Organomineral NPK 10-4-6,Compuesto,10,4,6,0,NPK organomineral,10-4-6,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
311,Organomineral a base de gallinaza NPK 3-3-2,Compuesto,3,3,2,0,NPK organomineral,3-3-2,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
312,Organomineral a base de compost NPK 2-2-2,Compuesto,2,2,2,0,NPK organomineral,2-2-2,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
313,Organomineral con ácidos húmicos NPK 6-6-6,Compuesto,6,6,6,0,NPK organomineral,6-6-6,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
314,Organomineral pelletizado NPK 5-5-10,Compuesto,5,5,10,0,NPK organomineral,5-5-10,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
315,Bocashi mineralizado NPK 2-3-2,Compuesto,2,3,2,0,NPK organomineral,2-3-2,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
316,Organomineral a base de vinaza NPK 0-0-5,Compuesto,0,0,5,0,NPK organomineral,0-0-5,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
317,NPK Café etapa de llenado 12-6-30-4S,Compuesto,12,6,30,4,NPK+S especializado (café - llenado de grano),12-6-30-4S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
318,NPK Café almácigo 15-30-15,Compuesto,15,30,15,0,NPK especializado (café - almácigo),15-30-15,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
319,NPK Palma vivero 15-15-15+micros,Compuesto,15,15,15,0,NPK especializado (palma - vivero),15-15-15,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
320,NPK Palma producción 13-4-30-4S-4MgO,Compuesto,13,4,30,4,NPK+S+Mg especializado (palma - producción),13-4-30-4S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
321,NPK Papa etapa de tuberización 10-10-30,Compuesto,10,10,30,0,NPK especializado (papa - tuberización),10-10-30,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
322,NPK Caña de azúcar resiembra 18-8-20,Compuesto,18,8,20,0,NPK especializado (caña - resiembra),18-8-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
323,NPK Arroz macollamiento 21-7-14,Compuesto,21,7,14,0,NPK especializado (arroz - macollamiento),21-7-14,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
324,NPK Maíz llenado de grano 14-4-25,Compuesto,14,4,25,0,NPK especializado (maíz - llenado de grano),14-4-25,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
325,NPK Banano ciclo de producción 16-4-24-3MgO,Compuesto,16,4,24,0,NPK+Mg especializado (banano - producción),16-4-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
326,NPK Aguacate Hass floración 12-12-24-3MgO,Compuesto,12,12,24,0,NPK+Mg especializado (aguacate - floración),12-12-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
327,NPK Cítricos amarre de fruto 10-10-30,Compuesto,10,10,30,0,NPK especializado (cítricos - amarre de fruto),10-10-30,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
328,NPK Flores de corte enraizamiento 10-40-10,Compuesto,10,40,10,0,NPK especializado (floricultura - enraizamiento),10-40-10,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
329,NPK Hortalizas de hoja 20-5-10,Compuesto,20,5,10,0,NPK especializado (hortalizas de hoja),20-5-10,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
330,NPK Hortalizas de fruto 8-16-24,Compuesto,8,16,24,0,NPK especializado (hortalizas de fruto),8-16-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
331,NPK Cacao almácigo 12-24-12,Compuesto,12,24,12,0,NPK especializado (cacao - almácigo),12-24-12,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
332,NPK Cacao producción 18-6-18-3MgO,Compuesto,18,6,18,0,NPK+Mg especializado (cacao - producción),18-6-18,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
333,NPK Frutales de clima frío 12-12-17-2MgO,Compuesto,12,12,17,0,"NPK+Mg especializado (mora, lulo, uchuva)",12-12-17,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
334,NPK Uchuva 15-10-20,Compuesto,15,10,20,0,NPK especializado (uchuva),15-10-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
335,NPK Mora de Castilla 14-8-22,Compuesto,14,8,22,0,NPK especializado (mora),14-8-22,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
336,NPK Lulo 16-8-20,Compuesto,16,8,20,0,NPK especializado (lulo),16-8-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
337,NPK Papa criolla 12-24-12,Compuesto,12,24,12,0,NPK especializado (papa criolla),12-24-12,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
338,NPK Habichuela/arveja 10-20-20,Compuesto,10,20,20,0,NPK especializado (leguminosas de grano verde),10-20-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
339,NPK Zanahoria/remolacha 12-16-20,Compuesto,12,16,20,0,NPK especializado (hortalizas de raíz),12-16-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
340,NPK Cebolla 15-15-15,Compuesto,15,15,15,0,NPK especializado (cebolla),15-15-15,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
341,NPK Ajo 12-24-12,Compuesto,12,24,12,0,NPK especializado (ajo),12-24-12,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
342,NPK Espárrago 10-10-20,Compuesto,10,10,20,0,NPK especializado (espárrago),10-10-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
343,NPK Melón/sandía 8-16-24,Compuesto,8,16,24,0,NPK especializado (cucurbitáceas),8-16-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
344,NPK Pepino 12-12-24,Compuesto,12,12,24,0,NPK especializado (pepino),12-12-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
345,NPK Pimentón/ají 14-10-24,Compuesto,14,10,24,0,NPK especializado (pimentón/ají),14-10-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
346,NPK Berenjena 13-13-21,Compuesto,13,13,21,0,NPK especializado (berenjena),13-13-21,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
347,NPK edáfico 6-16-20-3S grado agrícola,Compuesto,6,16,20,3,NPK(S) granulado - grado agrícola genérico,6-16-20-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
348,NPK edáfico 18-0-24 grado agrícola,Compuesto,18,0,24,0,NPK(S) granulado - grado agrícola genérico,18-0-24,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
349,NPK edáfico 4-24-20 grado agrícola,Compuesto,4,24,20,0,NPK(S) granulado - grado agrícola genérico,4-24-20,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
350,NPK edáfico 8-8-26 grado agrícola,Compuesto,8,8,26,0,NPK(S) granulado - grado agrícola genérico,8-8-26,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
351,NPK edáfico 10-8-12-3S grado agrícola,Compuesto,10,8,12,3,NPK(S) granulado - grado agrícola genérico,10-8-12-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
352,NPK edáfico 10-10-28-3S grado agrícola,Compuesto,10,10,28,3,NPK(S) granulado - grado agrícola genérico,10-10-28-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
353,NPK edáfico 26-6-6 grado agrícola,Compuesto,26,6,6,0,NPK(S) granulado - grado agrícola genérico,26-6-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
354,NPK edáfico 22-14-4 grado agrícola,Compuesto,22,14,4,0,NPK(S) granulado - grado agrícola genérico,22-14-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
355,NPK edáfico 2-6-18 grado agrícola,Compuesto,2,6,18,0,NPK(S) granulado - grado agrícola genérico,2-6-18,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
356,NPK edáfico 14-20-2-3S grado agrícola,Compuesto,14,20,2,3,NPK(S) granulado - grado agrícola genérico,14-20-2-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
357,NPK edáfico 14-26-2 grado agrícola,Compuesto,14,26,2,0,NPK(S) granulado - grado agrícola genérico,14-26-2,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
358,NPK edáfico 14-10-22 grado agrícola,Compuesto,14,10,22,0,NPK(S) granulado - grado agrícola genérico,14-10-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
359,NPK edáfico 22-8-24 grado agrícola,Compuesto,22,8,24,0,NPK(S) granulado - grado agrícola genérico,22-8-24,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
360,NPK edáfico 30-8-8 grado agrícola,Compuesto,30,8,8,0,NPK(S) granulado - grado agrícola genérico,30-8-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
361,NPK edáfico 28-0-6 grado agrícola,Compuesto,28,0,6,0,NPK(S) granulado - grado agrícola genérico,28-0-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
362,NPK edáfico 10-22-10-3S grado agrícola,Compuesto,10,22,10,3,NPK(S) granulado - grado agrícola genérico,10-22-10-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
363,NPK edáfico 10-10-12 grado agrícola,Compuesto,10,10,12,0,NPK(S) granulado - grado agrícola genérico,10-10-12,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
364,NPK edáfico 20-24-6 grado agrícola,Compuesto,20,24,6,0,NPK(S) granulado - grado agrícola genérico,20-24-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
365,NPK edáfico 2-12-30 grado agrícola,Compuesto,2,12,30,0,NPK(S) granulado - grado agrícola genérico,2-12-30,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
366,NPK edáfico 14-18-2 grado agrícola,Compuesto,14,18,2,0,NPK(S) granulado - grado agrícola genérico,14-18-2,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
367,NPK edáfico 26-10-10 grado agrícola,Compuesto,26,10,10,0,NPK(S) granulado - grado agrícola genérico,26-10-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
368,NPK edáfico 30-16-8 grado agrícola,Compuesto,30,16,8,0,NPK(S) granulado - grado agrícola genérico,30-16-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
369,NPK edáfico 28-14-10 grado agrícola,Compuesto,28,14,10,0,NPK(S) granulado - grado agrícola genérico,28-14-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
370,NPK edáfico 6-24-24 grado agrícola,Compuesto,6,24,24,0,NPK(S) granulado - grado agrícola genérico,6-24-24,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
371,NPK edáfico 24-16-0 grado agrícola,Compuesto,24,16,0,0,NPK(S) granulado - grado agrícola genérico,24-16-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
372,NPK edáfico 24-18-0 grado agrícola,Compuesto,24,18,0,0,NPK(S) granulado - grado agrícola genérico,24-18-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
373,NPK edáfico 8-16-6-3S grado agrícola,Compuesto,8,16,6,3,NPK(S) granulado - grado agrícola genérico,8-16-6-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
374,NPK edáfico 12-14-22 grado agrícola,Compuesto,12,14,22,0,NPK(S) granulado - grado agrícola genérico,12-14-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
375,NPK edáfico 14-30-10 grado agrícola,Compuesto,14,30,10,0,NPK(S) granulado - grado agrícola genérico,14-30-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
376,NPK edáfico 0-20-28 grado agrícola,Compuesto,0,20,28,0,NPK(S) granulado - grado agrícola genérico,0-20-28,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
377,NPK edáfico 24-10-4 grado agrícola,Compuesto,24,10,4,0,NPK(S) granulado - grado agrícola genérico,24-10-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
378,NPK edáfico 18-12-4 grado agrícola,Compuesto,18,12,4,0,NPK(S) granulado - grado agrícola genérico,18-12-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
379,NPK edáfico 30-8-2 grado agrícola,Compuesto,30,8,2,0,NPK(S) granulado - grado agrícola genérico,30-8-2,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
380,NPK edáfico 16-10-22 grado agrícola,Compuesto,16,10,22,0,NPK(S) granulado - grado agrícola genérico,16-10-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
381,NPK edáfico 20-2-6 grado agrícola,Compuesto,20,2,6,0,NPK(S) granulado - grado agrícola genérico,20-2-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
382,NPK edáfico 20-22-6 grado agrícola,Compuesto,20,22,6,0,NPK(S) granulado - grado agrícola genérico,20-22-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
383,NPK edáfico 18-16-6 grado agrícola,Compuesto,18,16,6,0,NPK(S) granulado - grado agrícola genérico,18-16-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
384,NPK edáfico 18-6-16 grado agrícola,Compuesto,18,6,16,0,NPK(S) granulado - grado agrícola genérico,18-6-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
385,NPK edáfico 4-6-12 grado agrícola,Compuesto,4,6,12,0,NPK(S) granulado - grado agrícola genérico,4-6-12,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
386,NPK edáfico 16-16-6 grado agrícola,Compuesto,16,16,6,0,NPK(S) granulado - grado agrícola genérico,16-16-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
387,NPK edáfico 6-16-16 grado agrícola,Compuesto,6,16,16,0,NPK(S) granulado - grado agrícola genérico,6-16-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
388,NPK edáfico 16-24-8-3S grado agrícola,Compuesto,16,24,8,3,NPK(S) granulado - grado agrícola genérico,16-24-8-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
389,NPK edáfico 12-18-12-3S grado agrícola,Compuesto,12,18,12,3,NPK(S) granulado - grado agrícola genérico,12-18-12-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
390,NPK edáfico 16-4-18 grado agrícola,Compuesto,16,4,18,0,NPK(S) granulado - grado agrícola genérico,16-4-18,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
391,NPK edáfico 22-4-12 grado agrícola,Compuesto,22,4,12,0,NPK(S) granulado - grado agrícola genérico,22-4-12,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
392,NPK edáfico 18-4-20-3S grado agrícola,Compuesto,18,4,20,3,NPK(S) granulado - grado agrícola genérico,18-4-20-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
393,NPK edáfico 8-14-20 grado agrícola,Compuesto,8,14,20,0,NPK(S) granulado - grado agrícola genérico,8-14-20,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
394,NPK edáfico 10-30-0 grado agrícola,Compuesto,10,30,0,0,NPK(S) granulado - grado agrícola genérico,10-30-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
395,NPK edáfico 30-0-12 grado agrícola,Compuesto,30,0,12,0,NPK(S) granulado - grado agrícola genérico,30-0-12,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
396,NPK edáfico 0-2-28-3S grado agrícola,Compuesto,0,2,28,3,NPK(S) granulado - grado agrícola genérico,0-2-28-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
397,NPK edáfico 10-10-8 grado agrícola,Compuesto,10,10,8,0,NPK(S) granulado - grado agrícola genérico,10-10-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
398,NPK edáfico 28-12-4 grado agrícola,Compuesto,28,12,4,0,NPK(S) granulado - grado agrícola genérico,28-12-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
399,NPK edáfico 10-6-22 grado agrícola,Compuesto,10,6,22,0,NPK(S) granulado - grado agrícola genérico,10-6-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
400,NPK edáfico 2-16-28 grado agrícola,Compuesto,2,16,28,0,NPK(S) granulado - grado agrícola genérico,2-16-28,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
401,NPK edáfico 6-22-0 grado agrícola,Compuesto,6,22,0,0,NPK(S) granulado - grado agrícola genérico,6-22-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
402,NPK edáfico 12-30-12 grado agrícola,Compuesto,12,30,12,0,NPK(S) granulado - grado agrícola genérico,12-30-12,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
403,NPK edáfico 6-30-18 grado agrícola,Compuesto,6,30,18,0,NPK(S) granulado - grado agrícola genérico,6-30-18,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
404,NPK edáfico 12-4-8-3S grado agrícola,Compuesto,12,4,8,3,NPK(S) granulado - grado agrícola genérico,12-4-8-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
405,NPK edáfico 24-16-6 grado agrícola,Compuesto,24,16,6,0,NPK(S) granulado - grado agrícola genérico,24-16-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
406,NPK edáfico 30-14-4-3S grado agrícola,Compuesto,30,14,4,3,NPK(S) granulado - grado agrícola genérico,30-14-4-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
407,NPK edáfico 18-18-6-3S grado agrícola,Compuesto,18,18,6,3,NPK(S) granulado - grado agrícola genérico,18-18-6-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
408,NPK edáfico 14-18-10 grado agrícola,Compuesto,14,18,10,0,NPK(S) granulado - grado agrícola genérico,14-18-10,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
409,NPK edáfico 20-20-14 grado agrícola,Compuesto,20,20,14,0,NPK(S) granulado - grado agrícola genérico,20-20-14,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
410,NPK edáfico 6-16-0 grado agrícola,Compuesto,6,16,0,0,NPK(S) granulado - grado agrícola genérico,6-16-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
411,NPK edáfico 4-26-22 grado agrícola,Compuesto,4,26,22,0,NPK(S) granulado - grado agrícola genérico,4-26-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
412,NPK edáfico 8-4-8 grado agrícola,Compuesto,8,4,8,0,NPK(S) granulado - grado agrícola genérico,8-4-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
413,NPK edáfico 14-4-22 grado agrícola,Compuesto,14,4,22,0,NPK(S) granulado - grado agrícola genérico,14-4-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
414,NPK edáfico 14-26-8 grado agrícola,Compuesto,14,26,8,0,NPK(S) granulado - grado agrícola genérico,14-26-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
415,NPK edáfico 0-2-30 grado agrícola,Compuesto,0,2,30,0,NPK(S) granulado - grado agrícola genérico,0-2-30,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
416,NPK edáfico 12-6-30 grado agrícola,Compuesto,12,6,30,0,NPK(S) granulado - grado agrícola genérico,12-6-30,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
417,NPK edáfico 6-8-26 grado agrícola,Compuesto,6,8,26,0,NPK(S) granulado - grado agrícola genérico,6-8-26,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
418,NPK edáfico 4-20-2 grado agrícola,Compuesto,4,20,2,0,NPK(S) granulado - grado agrícola genérico,4-20-2,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
419,NPK edáfico 24-0-26 grado agrícola,Compuesto,24,0,26,0,NPK(S) granulado - grado agrícola genérico,24-0-26,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
420,NPK edáfico 14-26-0 grado agrícola,Compuesto,14,26,0,0,NPK(S) granulado - grado agrícola genérico,14-26-0,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
421,NPK edáfico 10-22-8 grado agrícola,Compuesto,10,22,8,0,NPK(S) granulado - grado agrícola genérico,10-22-8,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
422,NPK edáfico 10-24-4 grado agrícola,Compuesto,10,24,4,0,NPK(S) granulado - grado agrícola genérico,10-24-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
423,NPK edáfico 4-16-18 grado agrícola,Compuesto,4,16,18,0,NPK(S) granulado - grado agrícola genérico,4-16-18,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
424,NPK edáfico 16-4-26 grado agrícola,Compuesto,16,4,26,0,NPK(S) granulado - grado agrícola genérico,16-4-26,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
425,NPK edáfico 26-2-6 grado agrícola,Compuesto,26,2,6,0,NPK(S) granulado - grado agrícola genérico,26-2-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
426,NPK edáfico 10-0-16 grado agrícola,Compuesto,10,0,16,0,NPK(S) granulado - grado agrícola genérico,10-0-16,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
427,NPK edáfico 0-18-20 grado agrícola,Compuesto,0,18,20,0,NPK(S) granulado - grado agrícola genérico,0-18-20,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
428,NPK edáfico 20-0-14 grado agrícola,Compuesto,20,0,14,0,NPK(S) granulado - grado agrícola genérico,20-0-14,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
429,NPK edáfico 18-22-2-3S grado agrícola,Compuesto,18,22,2,3,NPK(S) granulado - grado agrícola genérico,18-22-2-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
430,NPK edáfico 4-14-4 grado agrícola,Compuesto,4,14,4,0,NPK(S) granulado - grado agrícola genérico,4-14-4,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
431,NPK edáfico 12-4-14 grado agrícola,Compuesto,12,4,14,0,NPK(S) granulado - grado agrícola genérico,12-4-14,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
432,NPK edáfico 6-10-6 grado agrícola,Compuesto,6,10,6,0,NPK(S) granulado - grado agrícola genérico,6-10-6,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
433,NPK edáfico 0-4-22 grado agrícola,Compuesto,0,4,22,0,NPK(S) granulado - grado agrícola genérico,0-4-22,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
434,NPK edáfico 22-10-16-3S grado agrícola,Compuesto,22,10,16,3,NPK(S) granulado - grado agrícola genérico,22-10-16-3S,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
435,NPK edáfico 14-10-26 grado agrícola,Compuesto,14,10,26,0,NPK(S) granulado - grado agrícola genérico,14-10-26,Comercialización regional (catálogo genérico de mezcladoras),Formulación estándar de la industria; no verificada en el registro ICA
